product,avg_ibp,std_ibp,avg_fbp,std_fbp,n_tests
182786-3B,17.948,,138.515,,1
184016-10 ez,20.006,,157.22,,1
184530-6GGG,21.612,,164.206,,1
184016-11bbbb,22.004,,152.708,,1
1864-1a,22.689,0.0,148.644,0.0,2
184016-8 10%opt,22.82,,160.555,,1
183215-12opt,23.126,,161.201,,1
171450-78a,23.209,,163.374,,1
194211-146AAA,23.421,,125.844,,1
Camin Gas RVP +9.5,23.714,,23.864,,1
176062-123,23.76,,33.025,,1
185947-2aa,23.878,,101.559,,1
184580-6,23.923,,150.971,,1
171450-78opt,24.052111111111113,0.02951459149490683,171.00155555555557,0.04321779468898479,9
181928-32uuiiiui,24.152,,174.299,,1
185498-22a,24.265,,155.715,,1
183115-19,24.345,,83.023,,1
184247-7GGG,24.395,,149.852,,1
194796-1 oppppp,24.512,,32.933,,1
183767-6,24.552333333333333,1.222383873148422,90.19333333333333,57.595454736752735,3
189777-22,24.634,,35.463,,1
184719-14 ez,24.789,,145.373,,1
184016-9 opt,24.886,,159.944,,1
2290-1a,25.116,,165.515,,1
182024=21tttyyuu,25.134,,148.631,,1
175755-1iou,25.16,0.005656854249494269,42.040499999999994,1.5054303371461555,2
179552-3a,25.176,0.0,126.057,0.0,3
179362-1tfgvb,25.215,0.0,39.145,0.0,4
194819-6.10%aaa,25.253,,69.549,,1
185834-6,25.256,,69.709,,1
185599-1a,25.345,,155.084,,1
183112-8rrttty,25.368,,149.695,,1
Camin High Aro light,25.474,,39.697,,1
1891611-44,25.479,,37.722,,1
183542-6qqqwwee,25.515,,150.922,,1
189566-1x,25.82,,40.539,,1
186929_1A,25.875,0.0,38.074,0.0,7
177073-111,25.879,,43.942,,1
natural gas 210,25.932000000000002,3.1395541084682708,57.6115,34.684294723981345,2
182351-9 AN,25.988500000000002,0.5536789081528516,140.438,13.042342580993653,4
184678-2,26.019,,152.701,,1
189524-9a,26.029,,49.003,,1
NAPH,26.044,0.0,88.563,0.0,3
189524-15a,26.118,,49.313,,1
182425-9,26.118,0.0,144.164,0.0,2
181765-14,26.123,0.0,76.433,0.0,2
184324-15 ez,26.205,,160.267,,1
181781-5 ez,26.284,0.0,155.556,0.0,2
189778-6a,26.293,,43.319,,1
182387-10,26.3,0.0,81.821,0.0,3
179541-1qQQE,26.301,0.0,38.008,0.0,3
178607-1111,26.339,0.0,48.593,0.0,4
186610-6 10% ez,26.34,0.0,140.252,0.0,3
2275-1a,26.352,,154.323,,1
175403-1GGGG,26.492,,45.183,,1
183005-11,26.553,,72.378,,1
185120-10a,26.605,,75.009,,1
175536-6 opt,26.68,,49.209,,1
186256-21a,26.698,,160.43,,1
191403-6 ez,26.718,,65.315,,1
185000-1,26.742,,69.831,,1
175922-134,26.754,,76.977,,1
177680-666,26.759,0.0,50.838,0.0,4
184271-24,26.79,,73.432,,1
189519-288,26.832,,64.284,,1
182077-18rrttr,26.832,,78.976,,1
185642-8a,26.86,0.0,155.679,0.0,6
176942-6,26.888,,69.527,,1
179972-17ttstfg,26.891,0.0,79.033,0.0,2
185725-7 ez,26.895,,71.796,,1
181241-13,26.929,0.0,71.679,0.0,3
189446-11qwqw,26.957,,71.251,,1
189390-1x,26.986,,69.392,,1
191506-77,27.044,,79.99,,1
184845-18 ez,27.053,,151.885,,1
183506-1,27.066,,42.137,,1
175256-1010,27.073,,76.052,,1
192217-6AAA,27.075,,79.056,,1
178948-111,27.094,,40.599,,1
183732-9,27.095,,73.932,,1
182386-10,27.102,0.0,74.016,0.0,2
194133-18AAA,27.117,,75.492,,1
179963-11 ez,27.124,0.0,82.621,0.0,2
177211-6444,27.131,0.0,82.719,0.0,2
177558-10qqqqq,27.143,0.0,73.679,0.0,5
190043-8a,27.146,,73.022,,1
178753-8qqqqq,27.147000000000002,0.0,85.41699999999999,0.0,3
177731-1212,27.154000000000003,0.0,54.77,0.0,5
185465-6a,27.158,0.0,160.094,0.0,4
175334-1a,27.165,,47.319,,1
189545-13b,27.192,,74.575,,1
183159-7,27.201,,43.042,,1
180167-11,27.217,0.0,79.007,0.0,3
240 CUT,27.218,,74.788,,1
181048-10 ez,27.225,0.0,82.783,0.0,2
182281-18,27.228,,74.046,,1
181020-10,27.234,0.0,74.313,0.0,2
177197-7aaaaaaa,27.243,,76.437,,1
175821-999,27.274,,73.836,,1
189571-1OPTT,27.312,,60.036,,1
189545-33 ez,27.338,,77.694,,1
181599-38b,27.34,0.0,144.261,0.0,2
1855-1 OPT,27.356,,149.356,,1
186422-9 ez,27.4,,69.331,,1
174586-999,27.413,0.0,75.614,0.0,6
192217-12x,27.421,,79.78,,1
175546-19,27.435,,74.24,,1
179317-6dddds,27.448,0.0,87.217,0.0,4
176854-888,27.46,,63.401,,1
177750-10222,27.46,0.0,83.794,0.0,2
175281-2800,27.461,,81.787,,1
192574-19opttt<<,27.472,,76.909,,1
182690-1a,27.486,,44.451,,1
184418-2 opppppp,27.486,,76.499,,1
192178-2x,27.487,,167.207,,1
176829-9ttrttt,27.489,,79.393,,1
191322-17x,27.5,,74.524,,1
192830-19opt==,27.524,,76.733,,1
192216-7leo,27.566,,75.62,,1
178974-6a,27.59,,100.968,,1
176542-1099,27.601,,80.549,,1
naptha,27.617,,79.594,,1
193505-9 oppppp,27.631,,75.034,,1
176765-1a,27.631,,42.978,,1
193165-11 ez,27.638,,77.199,,1
2297-1,27.639,0.0,142.034,0.0,3
189261-7optt,27.643,,72.529,,1
181241-32,27.672,0.0,81.928,0.0,3
175458-21,27.682,,78.21,,1
191467-17OPTTTT,27.71,,81.779,,1
2198-1wwrtv,27.717,0.0,159.04,0.0,2
G1,27.725,,63.779,,1
176533°10A,27.735,,74.673,,1
194504-16opt;;,27.737,,78.775,,1
194746-7opt==,27.74,,73.44,,1
191711-19,27.759,,77.363,,1
182430-7 ks,27.765,0.0,147.714,0.0,2
176719-15bb,27.776,,79.554,,1
178706-12,27.778000000000002,0.0,77.345,0.0,3
177952-6,27.785,0.0,70.418,0.0,4
191216-196optwww,27.793,,77.724,,1
181294-27 ez,27.814000000000004,0.0,145.182,0.0,3
194130-19opt==,27.832,,72.498,,1
192208-6,27.837,,75.825,,1
190691-26 ez,27.855,,77.848,,1
194396-6opty<<,27.859,,76.097,,1
178915-18a,27.863,0.0,76.345,0.0,5
179325-4eeeeer,27.9,0.0,75.651,0.0,4
178980-14,27.902,0.0,76.97,0.0,3
191331-13 opppp,27.93,,79.211,,1
193477-13opt==,27.937,,73.961,,1
181647-14444444cc,27.942,0.0,154.299,0.0,2
190280-8x,27.964,,69.718,,1
179081-8aaaa3,27.964,0.0,96.69599999999998,0.0,3
179934-9a,27.996,0.0,45.607,0.0,2
177252-6,28.003,0.0,52.963,0.0,2
179049=19qqqqq',28.042999999999996,0.0,104.789,0.0,3
177291-20,28.043,0.0,74.388,0.0,2
176339-54444444A,28.057,,81.845,,1
178610-8vcx,28.062,0.0,82.494,0.0,3
190993-11zzz,28.171,,76.886,,1
191764-6otyppp,28.178,,84.591,,1
181307-1,28.19,0.0,73.904,0.0,3
181652-11,28.194,0.0,44.519,0.0,2
186479-22 ez,28.194,0.0,157.788,0.0,7
183535-14,28.224,,146.848,,1
178915-11aaaaaa',28.229,,100.452,,1
192329-9,28.246,,78.723,,1
185745-6bj,28.262,0.0,63.69100000000001,0.0,5
191829-122,28.293,,87.836,,1
180769-14jjjjj,28.321,0.0,75.339,0.0,2
188090-13 ez,28.332,,81.808,,1
193433-10opt[],28.337,,75.964,,1
181660-88,28.404,0.0,149.807,0.0,2
190606-4x,28.407,,79.373,,1
179974°8JILK,28.422,0.0,99.839,0.0,2
184853-1 ez,28.448,,48.546,,1
194100-6 ez,28.459,,134.839,,1
191947-18 opppppp,28.586,,76.41,,1
177427-7,28.655,0.0,51.507,0.0,2
182235-13xxx,28.728,,80.239,,1
181260-31 ez,28.763,0.0,68.6,0.0,3
194126-116opt==,28.776,,86.238,,1
193566-6 so,28.782,,69.271,,1
194397-7optt==,28.792,,135.459,,1
179936-6 ez,28.883,0.0,111.634,0.0,2
182429-112qqqq,28.909000000000002,0.0,129.849,0.0,3
180131-1spkopt,29.008,0.0,139.134,0.0,2
193087-6GGG,29.012,,88.124,,1
175729-111,29.114,,46.075,,1
179169-21 optimze,29.137,0.051314158447185926,88.752,14.549702009712384,8
182424-8,29.155,0.0,47.092999999999996,0.0,3
180769-26rrrrrrpp,29.209,0.0,80.023,0.0,2
192558-6opt<<<,29.217,,90.391,,1
177832-6a,29.337,0.0,66.5,0.0,4
179974°8GUKHJ,29.348,0.0,109.671,0.0,2
CBOBRR,29.372,1.4184061477588126,148.066,11.11892643198973,3
186492-1opt,29.449,,47.138,,1
185425-9a,29.457,0.0,152.641,0.0,4
194546-6AAA,29.533,,136.611,,1
190447-10opptt,29.543,,81.652,,1
175728-2A,29.725,,239.241,,1
184680-007,29.811,,30.856,,1
184863-1 ez,29.946,,126.585,,1
171450-43a,29.964,0.0,137.51,0.0,3
181250-44,29.974,2.767094360516099,141.1625,10.486148363436406,6
193462-7sss,30.04,,73.44,,1
175897-111,30.041,,171.314,,1
182464-14,30.067,,164.201,,1
180690-26ttttt,30.115,0.0,87.234,0.0,2
190836-6zzz,30.2,,86.923,,1
15647-1srvhi,30.288,0.0,147.298,0.0,3
181478-4wweerr,30.383,0.0,101.57800000000002,0.0,3
185929-1222,30.442,,162.977,,1
194364-111,30.448,,137.327,,1
182464-20,30.456,,161.856,,1
194762-13opt1111,30.506,,76.836,,1
179374-2111,30.527,0.0,99.853,0.0,4
Magellan 125 LVN New,30.731333333333332,1.9948626464884696,83.6014358974359,11.628105523569438,78
185900-2aa,30.756,,163.921,,1
181954-1yyyyiio,30.902,,126.397,,1
GASOLINE G1+G2 TEST,30.921,,147.205,,1
NAPHTHA,31.079700000000003,3.8873512847581853,95.2993,41.60523700222258,10
191258-26a,31.091,,93.687,,1
192605-19AAA,31.133,,90.607,,1
186893-1kls,31.189,0.0,152.004,0.0,4
194188-1AAA,31.203,,150.604,,1
192309-5opttttt,31.244,,58.879,,1
185914-5aa,31.265,,153.655,,1
180525-25tttt,31.346,0.0,172.508,0.0,2
181038-7&&,31.479,0.0,164.009,0.0,2
179368-2,31.514,0.0,161.584,0.0,4
182464-15,31.62,,126.922,,1
191353-26A,31.67,,119.885,,1
180210-22 ez,31.673,0.0,60.64000000000001,0.0,3
191760-6 ez,31.686,,78.677,,1
190557-13  ez,31.805,,150.343,,1
179053-3ttttt;,31.828999999999997,0.0,158.54,0.0,3
194806-4opttt,31.843,,106.079,,1
194234-888,31.854,,98.163,,1
188880-75opttt,31.875,,138.639,,1
4678-13,31.892,0.0,145.968,0.0,4
176791-2oooop,31.91,,134.412,,1
192937-15opt<<,31.928,,80.007,,1
180083-14qqqqq,31.936,0.0,72.384,0.0,2
194318-2AAA,31.999,,134.072,,1
180210-14,32.013,0.0,59.044999999999995,0.0,3
191979-16opywww,32.059,,128.532,,1
192985-88opt<<,32.107,,132.563,,1
177874-5,32.175,0.0,69.557,0.0,4
180638-14rrrrrrrr,32.207,0.0,136.708,0.0,2
190844-199,32.29,,99.306,,1
177069-18 opt,32.368,,153.522,,1
183451°14QSQS,32.433,,161.977,,1
Naphtha,32.46300673400674,7.034682861324593,87.61390909090909,18.45392240904003,297
180006°4AAAA,32.489,0.0,176.689,0.0,2
181626-25GGG,32.498,0.0,143.768,0.0,2
182043-2peener,32.507,,164.478,,1
193138-1AA,32.519,,114.729,,1
189872-6a,32.56,,141.571,,1
191928-6AAA,32.585,,151.924,,1
191937_14ABC,32.588,,139.603,,1
190406-11opyy,32.835,,83.886,,1
186064-22,32.861,,126.754,,1
4607-14tgggggg,32.972,,148.434,,1
180444-25,32.98,0.0,70.717,0.0,2
192851-15 ez,33.003,,139.389,,1
193894-1414,33.01,,146.438,,1
181287-8 ez,33.016,0.0,127.942,0.0,3
180640-777,33.075,0.0,144.722,0.0,2
174930-111111111,33.122,0.0,144.465,0.0,6
176952-9tttttt,33.155,,131.654,,1
190557-26 ez,33.236,,147.642,,1
184138_82,33.283,,127.29,,1
175154-2ttttttbb,33.399,,126.167,,1
180901-8eeeeer,33.465,0.0,127.944,0.0,2
180702-6spksssss,33.498,0.0,151.168,0.0,2
192606_13GGG,33.531,,148.909,,1
179328-6tttrf,33.557,0.0,120.862,0.0,4
176704-54wewee,33.571,,136.288,,1
183323°5LOLLL%,33.588,,138.398,,1
177191-13a,33.598,,89.8,,1
192232-20 oppppp,33.607,,148.251,,1
191286-76a,33.639,,133.248,,1
180444-19,33.672,0.0,79.445,0.0,2
189335-4a,33.723,,137.009,,1
184579-86AAA,33.729,,142.459,,1
177322-27hhhhh,33.742,0.0,128.229,0.0,5
176952°26JJJ,33.777,,147.496,,1
179526-17ggggsfhc,33.787,0.0,127.699,0.0,3
190878-16x,33.788,,125.816,,1
192394-22CCC,33.788,,144.164,,1
194095-11spk,33.825,,145.148,,1
181852-36 ez,33.881,0.0,120.703,0.0,2
180378-148GGG,33.891,,137.734,,1
192219-9optrrrrr,33.9,,131.446,,1
192328-77,33.914,,140.459,,1
RFG2470-1CCC,33.933,,146.442,,1
176918-10,33.934,,155.748,,1
184613-7,33.947,,151.721,,1
176760-26GGG,33.997,,130.107,,1
180608-3QQQQQQQQ,34.042,0.0,148.123,0.0,2
194701-6 opppppp,34.104,,139.758,,1
186954-8 ez,34.119,,131.172,,1
176756-99a,34.14566666666666,1.4413418516553698,146.24033333333333,13.444633923366363,3
193260-2opt==,34.147,,123.257,,1
179306-49,34.171,1.1337856940356947,149.806,6.512421208736436,6
189814-61x,34.188,,134.741,,1
192734-1a,34.23,,125.376,,1
192193-3 ez,34.246,,137.159,,1
190878-366,34.337,,126.872,,1
180190-7wwwwweee,34.431,0.0,156.855,0.0,2
192922-7opt<<<,34.432,,127.656,,1
191120-3ppp,34.437,,118.272,,1
191549-32 ez,34.5185,0.3641599923110724,150.999,9.755245153249604,2
191767-2A,34.526,,137.329,,1
192158-26x,34.573,,124.339,,1
191332-6x,34.574,,131.082,,1
"193250-9opt,,",34.584,,134.793,,1
192379-15BBB,34.589,,148.317,,1
193249-6AAAA,34.589,,137.206,,1
180096_1BAGELS,34.632,0.0,185.669,0.0,2
176756-3tttttttt,34.639,,172.917,,1
181693-6gtttgyu,34.652,0.0,132.737,0.0,2
184477-3,34.654,,163.996,,1
177756-20,34.657,0.0,154.59,0.0,4
192433-1optttttt,34.668,,135.166,,1
191878-16AA,34.68,,132.762,,1
Gas Handblend,34.69906666666667,4.102103440686889,137.82906666666668,14.400686077240836,15
191508-41optt,34.707,,129.093,,1
193067-7AAA,34.747,,155.372,,1
192935-244,34.756,,155.742,,1
192729-1a,34.782,,135.841,,1
192606-1 oppppppp,34.79,,128.641,,1
177492-20qqqqq,34.864,0.0,132.674,0.0,4
1790640-4uuuu-,34.879,0.0,156.482,0.0,3
1932255-1AAA,34.912,,132.855,,1
192556-6AAA,34.918,,142.223,,1
175707-6BAGEL,34.949,,153.406,,1
191901-37 opppt,34.96,,136.413,,1
178931-6PPO,34.977,0.0,156.483,0.0,3
190934-66,35.024,,150.928,,1
193086-14opt<<,35.038,,136.876,,1
192183_111A,35.051,,125.721,,1
176732-95aaaaaa,35.067,,139.349,,1
175707-5BAGEL,35.082,,175.898,,1
192434-1 opppppp,35.084,,127.302,,1
177492-110dddd,35.102,0.0,140.417,0.0,4
191738-20 opppp,35.111,,137.159,,1
191237-29 ez,35.143,,136.266,,1
191237-29zzz,35.145,,148.031,,1
178083-1a,35.149,0.0,134.081,0.0,5
192264-24AA,35.162,,130.831,,1
190779-2xxx,35.179,,127.501,,1
192057-2 opppppp,35.182,,119.104,,1
177492-111ddddd,35.242,0.0,137.662,0.0,4
191393-6optz,35.25,,103.743,,1
175822-17a,35.3,,133.656,,1
192834-5 opppppp,35.309,,145.666,,1
192972-1 oppppppp,35.311,,140.826,,1
189335-75x,35.32,,136.144,,1
192788-19opt;;,35.333,,82.264,,1
17089-181x,35.335,,131.419,,1
180469-10tyutyt,35.364,0.0,121.359,0.0,3
192039-12so,35.435,,136.264,,1
189480-2 ez,35.475,,122.968,,1
191760-7HB,35.481,,150.204,,1
176800-6,35.494,,176.721,,1
191974-6 so,35.495,,142.6,,1
177811-4fff,35.508,0.0,149.422,0.0,4
192865-7xxx,35.514,,156.331,,1
2002-1 optimize,35.542,0.0,158.386,0.0,4
177766-1aaaaa,35.545,0.0,157.26,0.0,4
191283-15x,35.546,,137.485,,1
180806-44,35.567,0.0,123.921,0.0,2
192595-5 deeeeecubed,35.572,,169.172,,1
192779-6AAA,35.585,,128.479,,1
193038-1 ez,35.62,,140.446,,1
176957-3,35.627,,130.848,,1
191620-33rrr,35.711,,138.862,,1
183696-45b ez,35.726,,123.416,,1
179109-21kjf,35.762,0.0,151.02,0.0,4
191548-6OPTTTT,35.776,,135.033,,1
180872-55,35.791,0.0,165.233,0.0,2
191732-6 oppppp,35.834,,127.251,,1
189564-6a,35.857,,142.102,,1
191656-7 ez,35.87,,138.661,,1
185461-13 ez,35.915,0.0,150.744,0.0,2
192379-9A,35.923,,142.95,,1
192439-7BBB,35.9255,0.023334523779156954,109.53550000000001,33.87677877986631,2
190751-6 ez,35.967,,155.455,,1
192429-7 spk optttt,35.972,,157.354,,1
192246-6AA,35.977,,149.764,,1
192710-7AAA,35.982,,144.065,,1
176756-112CCC,35.9975,0.27223611075681686,175.704,0.6180113267570492,2
174869-25opt,36.013,0.0,128.974,0.0,12
190708-6a10,36.032,,144.981,,1
192103-6so,36.068,,133.842,,1
192383-88X,36.084,,133.388,,1
190694-12a,36.09,,139.297,,1
194620-144,36.101,,149.143,,1
192729-2,36.112,,139.512,,1
189914-12optee,36.12,,155.205,,1
178919-3bkkp,36.153,0.0,141.72,0.0,3
191978-22 ez,36.171,,145.716,,1
192383-88AAAAA,36.171,,131.511,,1
192439-6BBB,36.178,,137.983,,1
1873-1BAGELS,36.21,,161.405,,1
190296-8a,36.23,,122.396,,1
194155-53AAA,36.247,,147.588,,1
177640-1b,36.319,,145.993,,1
190557-5X,36.391,,158.931,,1
DQC 24585A,36.436,,144.283,,1
194668-16optttt,36.456,,147.525,,1
190425-27x,36.475,,132.352,,1
184579-53A,36.491,,146.674,,1
178493-10GGG,36.551,0.0,147.075,0.0,4
192458-26 oppppp,36.626,,123.47,,1
179100-4a,36.648,0.0,104.40500000000002,0.0,3
175730-1aaa,36.729,,129.104,,1
191097-6 spkqqq,36.768,,144.386,,1
192868_1B,36.802,,129.721,,1
193961-20opt<<,36.829,,158.843,,1
176611-37a,36.846,,131.185,,1
186622-13 ez,36.914,0.0,176.76200000000003,0.0,3
192957-5 ez,36.955,,158.541,,1
G1+G2 EVAP,36.98226709996905,16.468788205889094,133.86334880841844,30.535414782205454,3231
191712-17 opppp,37.012,,102.575,,1
193011-3AAA,37.043,0.059396969619672245,138.228,2.6573072836990623,2
189497-722,37.117,,132.886,,1
190723-3 ez,37.123,,109.34,,1
179412-19,37.197,0.0,163.258,0.0,3
