product,avg_ibp,std_ibp,avg_fbp,std_fbp,n_tests
192211-6,37.222,,147.571,,1
187048.3B,37.223,,106.676,,1
RFG-2380-1CCC,37.275285714285715,3.0819184887710076,148.82385714285715,13.864204333805946,7
192428-1 oppp ez,37.296,,115.801,,1
192595-5 deeeeeeee,37.33,3.6104872247385154,290.426,0.8796408357960851,2
184579-83 ez,37.338,,138.624,,1
191408-1x,37.412,,109.049,,1
190714-13optx,37.554,,173.438,,1
AUTO G1+G2 EVAP,37.6565839269813,16.7191610048652,133.72831945681213,29.97764614478971,4492
RFG-2393-1CCC,37.678,,153.047,,1
174835-333333333,37.678,0.0,110.212,0.0,2
190170-100x,37.696,,131.611,,1
192380-13optttt,37.719,6.208397538817888,78.6885,62.036599233839375,2
193112-66,37.828,,42.456,,1
190092-29 compoptt,37.853,,135.378,,1
2469-1zzzxxy,37.918,,139.604,,1
192385-15otttt,37.977,,142.415,,1
193961-7AAA,37.979,,165.01,,1
193112-6bb,38.054,,129.861,,1
188078-4lol,38.086,,109.353,,1
182335-399,38.178,0.0,154.25,0.0,3
192648-9OPT>>,38.306,,128.317,,1
190645-52zzz,38.376,,126.385,,1
176015-1B,38.385,,152.404,,1
191785-12 opppppp,38.399,,145.502,,1
191851-1aa,38.461,,169.134,,1
190884-6 ez,38.462,,155.782,,1
194773-6b,38.469,,172.108,,1
188573-8x,38.637,,144.845,,1
191979-23 ez,38.638,,127.963,,1
RFG 2416X,38.724,,144.606,,1
182534-8,38.738,,167.449,,1
184174-4,38.825,,132.412,,1
193234-1opt==,38.835,,116.166,,1
AUTO G1+G2 GAS EVAP,38.877911813036334,16.675224026027067,131.08016961840426,32.50286101281733,5477
177843-6a,39.079,0.0,143.308,0.0,4
GAS EVAP HIGH EP,39.181,,269.792,,1
191541-9optttttt,39.185,0.14424978336205363,111.77199999999999,1.0974297244015314,2
179015-6a,39.377,,128.022,,1
194463-19opt;;;,39.394,,172.072,,1
192448-2SPAVID,39.436,,148.3,,1
179271-25qqqq3,39.665,0.0,142.087,0.0,4
GAS QCB,39.757,,151.143,,1
192448-6RIZZLER,39.807,,148.481,,1
dqc,39.8725,0.08273149339882166,152.311,1.7833233021524666,2
179398-2ertret,39.9,0.0,123.801,0.0,4
177730-6aaaa,39.924,0.0,145.891,0.0,5
QC444,39.939,,152.008,,1
GASOLINE,40.024,0.5345727265770301,154.027,3.426639461630002,2
RFG2477-1CCC,40.075900000000004,6.380218307828938,140.153,18.562340674961586,10
176378-3,40.094,,145.596,,1
192392-22abc,40.124,2.6898341956336282,159.68200000000002,26.997336905702358,2
192448-4POOP,40.272,,148.742,,1
178643-9aaaa,40.277,0.0,145.613,0.0,3
182377-10rrryy,40.325,0.0,121.576,0.0,2
RFG-2411-1CCC,40.394999999999996,18.188200625680373,107.111,41.65848890682427,2
RFG-2384x,40.4245,0.2269812767608803,134.5655,1.9608071042302835,2
Camin Gas RVP +9.5..,40.496,,146.099,,1
107972-5 ez,40.589,0.0,123.459,0.0,2
179398_16BBB,40.617,0.0,146.682,0.0,3
192448-1SPAVID,40.704,,148.452,,1
193234-11opt<<,40.706,,117.319,,1
RFG2562-1AXXX,40.75671428571429,5.5878224653940025,140.66400000000002,9.309251957058637,7
DQC1,40.816500000000005,1.2612189209913802,151.2996,0.9683103496985487,10
183322-38 ez,40.877,,137.072,,1
JUNE ACCX,40.892,,148.282,,1
193234-9opt<<<,40.932,,117.567,,1
WEEK QCB,40.97966666666667,0.7615250050611179,152.80966666666666,0.8943155669747341,3
WQC,40.985,0.0,150.766,0.0,2
G1&G2 EVAP,40.99011654135338,18.17497670521149,131.5215187969925,32.46716044453372,532
194313-125AAA,40.993,,124.352,,1
Monthly ACCX,41.007,,153.998,,1
184174-85,41.09,,131.24,,1
186217-6 ez,41.202,,44.319,,1
gas qc1,41.20941666666666,1.3593122230366959,149.4785,1.739951749592246,12
dqc run,41.25333333333334,1.1572962743682635,151.0426666666667,1.8400033333303147,6
180309-12,41.272,0.0,44.237,0.0,3
182872-7loloo,41.597,,117.519,,1
189557-4opt<,41.641,,109.795,,1
RFG 2407X,41.745,,111.553,,1
189411-1GGG,41.746,,303.294,,1
179398-27werdry,41.772,0.0,44.505,0.0,3
181720-47A,41.787,0.0,139.009,0.0,2
191230-6 oppjb,41.842,,44.453,,1
182976-88,41.888,,44.83,,1
RFG2489-1CCC,41.904,7.635748110041346,152.8885,7.411470319713885,6
Mtbe 13020,41.905,,44.449,,1
WEEK QCBBBBB,41.969,,152.743,,1
RFG2478-1ccc,42.137,,133.905,,1
181720-61b,42.139,0.0,140.603,0.0,2
191769-18 oppppp,42.184,,44.588,,1
191839-1aaa,42.245,,111.827,,1
gas qc,42.272,0.0,153.56,0.0,4
191194-3x,42.286,,106.363,,1
CAMIN GAS DQC,42.4220625,0.543279114114773,151.8465,0.8127221747518294,16
191883-7 oppppppp,42.4475,0.023334523779156954,44.6305,0.1322289680818827,2
G1 & G2 EVAP,42.4619074074074,20.36529386107327,137.15679629629628,37.29408799694343,54
176603-7uuuu,42.64,,152.18,,1
192234-38 oppppp,42.708,,122.045,,1
190425-52 jb hb mtbe,42.808,,45.515,,1
mtbe 1-9,42.839,0.0,44.699,0.0,7
WQC-#11 34919x,42.862,,148.698,,1
191595-19b oopp,42.878,,44.496,,1
188651-9CCC,42.916,,144.912,,1
193888-3opt1,42.935,,105.43,,1
192117-200,42.975,,158.636,,1
189533-6x,43.046,,45.393,,1
192993-15opt<<,43.088,,44.654,,1
1869-1,43.1,,157.161,,1
177259_7,43.169,,149.768,,1
186907-1GGG,43.202,,297.264,,1
184183-144,43.224,,45.032,,1
camin gas qc opti,43.299,2.8232428163372707,149.65066666666667,0.48901567800360146,3
193208-22opt<<<,43.32,,120.393,,1
189812-7a,43.337,,154.272,,1
183096-23,43.446,,127.79,,1
192738-7 ez,43.569,,126.412,,1
175655-5 10%opt,43.584,,147.614,,1
NAFTA BRASKEM,43.5865,12.705433258168636,137.82319999999999,19.33644468527414,10
RFG 2388X,43.894,,171.409,,1
RFG2516-1CCC,44.12733333333333,5.902375228103797,161.03666666666666,8.161286193568598,3
RFG-2554A,44.443,,163.274,,1
182335-8 jgg,44.563,,154.884,,1
190613-2 jbva,44.7,,157.753,,1
RFG2502-1X,45.0632,4.402096284726176,146.0352,19.46531347551331,5
RFG-2344-1 CCC,45.1045,4.953283002211765,151.3075,1.866054795551306,2
GAS QC1,45.58,,138.731,,1
TRANSMIX?,45.674,0.0,301.47,0.0,3
191357-12a,45.794,,130.111,,1
QC44,45.796,0.08626702730475871,112.531,27.46827002197263,2
175664-3,45.851,,99.637,,1
QCAA,45.958,,153.73,,1
175019-2 bagels,46.431,0.0,314.609,0.0,2
176869-4zzz,46.546,,263.409,,1
Naphtha-Crude HB,46.788,,305.053,,1
191102-6 opjb,46.941,,167.277,,1
184365-3,47.349000000000004,19.7905045918491,91.45150000000001,82.30510800977058,2
177593-2GGG,47.351,0.0,303.129,0.0,4
TRANS 53.9,47.46,9.552350271754367,248.32175,91.20667454076874,8
P2 SLATE,47.6298275862069,13.930642568168524,99.6643448275862,26.51271053297679,29
Mixed Naphtha HB,48.17425925925926,3.6561392642300223,126.14435802469134,6.111736539864588,81
RFG 2395X,48.214,,153.839,,1
TRANS HEAVY,48.522999999999996,2.310824960917635,307.879,5.515432893255059,2
41891-3optt,48.636,,113.758,,1
transmix 53.9,48.847,5.63839040270655,284.93014285714287,20.86041811204953,7
RFG 2428X,49.065,,155.753,,1
Condensate,49.197,,149.178,,1
191557-25 deeeeeeee,49.27,,155.941,,1
176612-14a,49.528000000000006,30.443775357205617,119.4185,66.13923277828374,2
175591-2ggggg,49.64,,305.433,,1
RFG-2386-1CCC,49.671,,163.474,,1
TRANS,49.672875,8.61878097839662,273.04200000000003,58.28578885849572,8
RFG 2422X,49.884,,149.983,,1
AUTO G1+G2 Gasoline,49.982809386761126,24.46447075146822,142.033185078592,26.978398478896228,4517
190318.11X,50.281,,144.258,,1
190135-27optx,50.568,,108.37,,1
183708-5,50.615,,55.26,,1
190154-20x,51.068,,132.24,,1
193776-15x,51.167,,111.583,,1
193776-15xx,51.35,,128.085,,1
179012-25a,51.716,0.0,152.034,0.0,3
RFG-1343-1CCC,51.785,,161.997,,1
191743-9 ez,52.245,,113.27,,1
Naphtha-CrudeHB -new,52.4738,0.5561238171486629,161.2676,9.599339706458979,5
191504-11A,52.975,,130.86,,1
19119511DDD,52.999,,156.192,,1
Methanol D1078,53.292,0.03818376618407501,53.391000000000005,0.062225396744419376,2
JET A1,53.959,17.18552320995785,172.73,27.61110559177231,2
192315+7 EZ,54.403,,132.155,,1
184574-6,55.06,,139.785,,1
350 F Cut,55.128,,156.033,,1
crude 75c,55.303,,22.656,,1
crude 145c,55.467,,104.115,,1
190770-6 jba,55.481,,78.422,,1
185427-2a,55.674,0.0,132.212,0.0,7
189883-6opty,55.694,,130.194,,1
189268-3optt,55.979,,51.935,,1
RFG 2406X,56.082,,95.227,,1
192600-13 ooppppp,56.632,,167.564,,1
G4 HIGH #2,56.74475,11.348142678429804,324.11575,29.949362501562554,4
G3 HIGH BOIL,56.749,,291.546,,1
Transmix,57.0175,18.5863017434884,292.656,26.21951944639721,2
176373-8rrrrrr,57.295,,359.305,,1
191182-19ppp,57.616,,87.019,,1
176323-19,57.807,,81.398,,1
177744-82b,58.045,0.0,145.391,0.0,2
450 cut,58.523911917098445,7.588091298178524,195.0957512953368,22.368502473258175,193
181096-31GGG,58.646,0.0,184.596,0.0,2
crude opt,58.75600000000001,0.0,354.219,0.0,7
192634-31AAA,58.878,,59.764,,1
192907-6so,59.4,,84.452,,1
191889-7x,59.977,,86.291,,1
RFG2551-1XXX,59.98766666666666,8.549386079323668,135.31233333333333,20.361968601619377,3
177190-6,60.025,,114.796,,1
176871-777,60.543,,121.281,,1
192493-1opt<<,60.552,,64.455,,1
184905-6,60.79,,169.383,,1
CRUDE INV,61.18778651685393,12.817876571711755,351.43281647940074,59.58585605075067,267
175338-16A,61.301,,139.704,,1
85722-4azz,61.423,,150.709,,1
350 cut,61.49572727272727,13.153090223144591,145.03127272727272,8.225278719787052,11
2043-1opt,61.719,0.0,151.425,0.0,2
crude,61.859,0.0,350.9,0.0,7
176767-21qqqqq,62.165,,163.388,,1
85722-4a,62.201,,166.294,,1
194373-19 opppppp,64.769,,122.588,,1
AUTO G2 High Boil.,64.81554733218589,28.98426062876995,146.57623063683303,30.696967663651524,581
194252-1AAA,64.936,,115.457,,1
D1078,65.237,,145.687,,1
180c [350f] cut,65.243,,112.768,,1
192765-4GGG,65.892,,280.951,,1
D850 BENZENE,66.2815,0.038890872965259914,84.44200000000001,4.289309734677595,2
400F CUT,66.449,2.3122391744800175,175.162,16.177188939985825,2
280 cut,66.48194117647058,9.547098411066482,113.65076470588235,8.82575741392271,136
LPO 15521-31oppttt,66.664,0.0,354.223,0.0,5
182245-5hjhjhj,66.84,,282.572,,1
Camin Reformate,68.4805,12.99326780811253,148.9985,12.277353474317383,4
106558-153a,68.563,0.0,135.578,0.0,3
650°F cut,69.21549999999999,0.044547727214759206,266.127,14.980764266218221,2
60-40 MeOH Blend,69.569,,88.428,,1
175142-444,71.237,0.0,121.268,0.0,2
185590-10GG,71.836,,124.406,,1
191768-6optt,72.616,,141.899,,1
D850,73.179,24.41710801876422,76.43900000000001,28.046378964137244,3
400 cut,74.08317496807152,25.427597578720594,160.71048786717753,26.457482502988693,783
330F cut,76.04724999999999,16.57892140389919,103.68175,56.62807757861818,4
Heavy Naphtha,79.8907294117647,14.827697154784538,137.6957411764706,13.372025421034177,85
CAC 3228-2 VVV,81.148,,305.22,,1
194570-17AAA,84.635,,147.16,,1
Magellan 124 HVN New,86.73061052631579,6.576780437354179,129.2276947368421,6.727248792836233,95
TOLUENE QC,88.61070588235295,21.38193946349555,111.52694117647059,31.937781122971327,17
180129-4a,90.082,0.0,150.989,0.0,2
NP 2400,93.435,,135.956,,1
177626-19ttrtr,93.484,0.0,168.216,0.0,4
TOLUENE   CAL 1,97.96021428571429,0.33623553524997163,98.21292857142858,0.27283820629300964,14
Toluene for QC,98.82516666666668,3.7741291666643653,103.73383333333334,14.830436600675876,6
180095_2A,99.017,0.0,121.212,0.0,2
D850-tol,99.22385714285714,0.6032620847170328,102.31957142857142,4.335173578114367,7
D850 Toluene,99.375,,99.645,,1
192520-1,99.385,,100.123,,1
D 850 IBP<110C,99.707,0.0,118.97,0.0,5
D 850 IBP<110C TOL,102.76487999999999,7.142095195155733,115.27544,11.806967967687546,25
177211-12ccccc,103.024,,126.25,,1
175719-3opt,104.209,,126.285,,1
TOLUENE DD850,109.09133333333334,16.604239107328393,109.54266666666668,17.325129215487348,3
175728-1a,111.798,98.79978789450915,160.1595,166.92316230080235,2
191579-49CCC,114.898,0.0,134.382,0.0,2
Camin Gas RVP -9.5,114.939,,133.917,,1
193031-6 ez,116.756,,132.483,,1
Reformate,117.943,,156.374,,1
193640-14AAA,124.901,,126.486,,1
PARAXYLENE,125.792,,126.79,,1
Mixed Xylenes,127.275,,129.259,,1
D850 MIXED XYLENE,127.79222222222221,0.43774758074082465,128.079,0.8342989572089917,9
D850 M-XYLENE,127.9665,0.10677312395917105,128.563,0.8046875169903048,2
D850-xylene,127.97833333333334,0.6749224646826708,129.03300000000002,0.5352036995387931,3
D-850 TOLUENE,128.71550000000002,41.31695633151116,128.8715,41.387667009629816,2
180349--1qqqstu,139.07,0.0,283.689,0.0,3
G4 MOD-D1655,149.5555,1.3787061357285808,230.78395833333332,2.2873784591929063,24
191304-12A,149.788,,156.224,,1
BUCKEYE KERO,150.23815384615384,1.773931737044106,241.2006153846154,5.450737251945241,13
Magellan Kero New,151.06088095238096,1.4998558662846018,235.26838095238097,11.153227248041606,42
AUTO G3,151.59316750178954,22.090005157832586,227.82281388690052,19.94778296647671,1397
178738-1aaaaa,153.784,0.0,294.254,0.0,3
171450-24a,153.897,0.0,218.874,0.0,2
176991=16tttttttt,154.457,,237.22,,1
JET D1655-DEFSTAN91,154.86843478260872,9.578553049894547,243.1105652173913,8.40991614824746,23
176991-20hhhhhh,156.03,,235.697,,1
177236-17opt,156.552,0.0,237.806,0.0,2
ATK,157.038,,224.821,,1
177236-21ggggg,157.658,0.0,237.75,0.0,2
PSEUDOCUMENE,158.156,,158.091,,1
189706-6xzxxzz,158.488,,228.934,,1
177193-5yuuuuyuu,159.249,,228.02,,1
Diesel & Jet G4,161.081,,238.194,,1
175430-25a,167.385,,271.381,,1
192767-24so,167.509,,231.877,,1
Camin 10% Residue,170.05016666666668,39.37370665181964,312.07483333333334,61.176491858734785,48
G4 HIGH BOIL,173.85336363636364,46.56304387095134,285.0180909090909,60.482315146786114,22
CAMIN 10% RESIDUE,175.6665,46.57234181050257,299.859375,16.510472052934002,8
4663-4eeeee,184.914,,339.638,,1
177511+7EEEEE,185.408,0.0,314.746,0.0,4
177712_5ddddd,185.726,0.0,319.997,0.0,4
DIESEL QC,186.293,1.7889996739332663,306.81330769230766,1.8775811293885216,13
MEG D1078,186.3092,0.3007552160811329,186.24,0.21305867736377895,5
10% BTMS,186.78104210526317,16.022744280391052,304.94236842105266,22.931608422239094,95
QC sample,187.709,4.750120676829639,298.6209,27.338465621619015,10
191953-71AAA,188.801,,341.973,,1
Camin Diesel,189.906,,307.83,,1
179562-6a,190.418,0.0,317.256,0.0,3
178761-6qqqq,190.547,0.0,316.413,0.0,3
178500-18rrrrr,191.704,,342.183,,1
DIESEL PARA RC,193.8144609929078,16.730752950146172,325.1884468085106,35.17176539426103,141
1777024-6eeeeeee,194.335,,339.661,,1
DIESEL_9%,194.9932142857143,14.127187671892909,322.8579642857143,37.216869614812765,56
DMA,196.3628888888889,14.25435786386434,334.44377777777777,11.055373973522773,9
G4 HIGH,197.57348,41.7223082032348,323.12366000000003,35.03268929222115,50
AUTO G4,199.50048684665975,33.147868747626426,312.4415880927657,41.73687008312623,5778
AUTO G4 OPT,199.534,,330.467,,1
DIESEL PESADO,203.8882,76.94555671353322,335.23040000000003,88.27746380362319,10
CM,204.4095,0.9903125769170038,333.21375,16.490614388695988,4
Gasoil opt,205.10720833333335,14.03919193349867,336.20991666666663,16.771420540950114,96
Magellan Gasoil New,205.80193333333332,12.866090068008031,339.468,3.4221649789069475,15
10% Residue,209.833,34.04294887344515,322.898,29.3633161955526,2
GAS OIL OPT,210.08849999999998,24.146123071077795,331.95925,32.9525444296243,12
Gas Oil OPT,210.115,13.873793066261815,334.5421797752809,21.902992857225644,89
10%RESID-CCR,211.49783333333335,12.20735218491982,312.5885,9.14438520076665,6
193728-7x,211.61,,338.08,,1
10% RESIDUE,214.17649999999998,25.429681171811794,325.38,4.903078420747499,2
Buckeye Gasoil,215.34009999999998,5.771538770462113,341.0517,4.576886761935347,20
180313-6 ez,215.986,0.0,338.982,0.0,3
DIESEL,216.63742574257427,19.27564681007956,321.7220099009901,11.266987496660366,101
Gasoil OPT,216.84475,11.525722345560665,339.575875,3.6782916085608046,24
KM Diesel,221.024,,341.298,,1
178960-17aaa24,221.21,0.0,343.22700000000003,0.0,3
Gasoil,221.756,,337.267,,1
"177480-8;,llkkhk",222.481,0.0,341.676,0.0,4
Diesel,222.91457627118646,11.157788373433315,324.1540847457627,6.699631395645732,59
HEXADECAN CAL 2,265.9499090909091,0.4774018128464697,266.92318181818183,0.5152261286429107,11
**4100 GOMK,279.4282857142857,6.710008015749938,357.0885714285714,15.906673493192953,7
